query,article_id,article_title,neural_score,rank,is_correct
equality before law,14,"14. Equality before law The State shall not deny to any person equality before the law or the equal protection of the laws within the territory of India Prohibition of discrimination on grounds of religion, race, caste, sex or place of birth",10.805436395263673,1,1
equality before law,16,16. Equality of opportunity in matters of public employment,1.8331016218185425,2,0
equality before law,13,13. Laws inconsistent with or in derogation of the fundamental rights,-0.6343490600585937,3,0
equality before law,39A,39. A Equal justice and free legal aid,-1.7965255807876588,4,0
equality before law,39,"39. Certain principles of policy to be followed by the State: The State shall, in particular, direct its policy towards securing",-6.2900638656616215,5,0
equality before law,19,19. Protection of certain rights regarding freedom of speech etc,-6.474470011901856,6,0
equality before law,22,22. Protection against arrest and detention in certain cases,-6.5954596832275385,7,0
equality before law,374,"374. Provisions as to Judges of the Federal Court and proceedings pending in the Federal Court or before His Majesty in Council ( 1 ) The Judges of the Federal Court holding office immediately before the commencement of this Constitution shall, unless they have elected otherwise, become on such commencement the Judges of the Supreme Court and shall thereupon be entitled to such salaries and allowances and to such rights in respect of leave of absence and pension as are provided for under Article 125 in respect of the Judges of the Supreme Court",-7.1889608901977535,8,0
equality before law,30,30. Right of minorities to establish and administer educational institutions,-7.233609541320801,9,0
equality before law,15,"15. Prohibition of discrimination on grounds of religion, race, caste, sex or place of birth",-7.455985366821289,10,0
equality before law,225,"225. Jurisdiction of existing High Courts Subject to the provisions of this Constitution and to the provisions of any law of the appropriate Legislature made by virtue of powers conferred on that Legislature by this Constitution, the jurisdiction of, and the law administered in, any existing High Court, and the respective powers of the Judges thereof in relation to the administration of justice in the Court, including any power to make rules of Court and to regulate the sittings of the Court and of members thereof sitting alone or in Division Courts, shall be the same as immediately before the commencement of this Constitution: Provided that any restriction to which the exercise of original jurisdiction by any of the High Courts with respect to any matter concerning the revenue or concerning any act ordered or done in the collection thereof was subject immediately before the commencement of this Constitution shall no longer apply to the exercise of such jurisdiction",-7.481662551879883,11,0
equality before law,38,38. State to secure a social order for the promotion of welfare of the people,-7.790572805786133,12,0
equality before law,295,"295. Succession to property, assets, rights, liabilities and obligations in other cases",-8.27964179840088,13,0
equality before law,326,"326. Elections to the House of the People and to the Legislative Assemblies of States to be on the basis of adult suffrage The elections to the House of the People and to the Legislative Assembly of every State shall be on the basis of adult suffrage; but is to say, every person who is a citizen of India and who is not less than twenty one years of age on such date as may be fixed in that behalf by or under any law made by the appropriate legislature and is not otherwise disqualified under this constitution or any law made by the appropriate Legislature on the ground of non residence, unsoundness of mind, crime or corrupt or illegal practice, shall be entitled to be registered as a voter at any such election",-8.552522274780273,14,0
equality before law,243D,243D. Reservation of seats,-8.61361787261963,15,0
equality before law,323,"323. A Administrative tribunals Parliament may, by law, provide for the adjudication or trial by administrative tribunals of disputes and complaints with respect to recruitment and conditions of service of persons appointed to public services and posts in connection with the affairs of the Union or of any State or of any local or other authority within the territory of India or under the control of the Government of India or of any corporation owned or controlled by the Government",-8.836338275146485,16,0
equality before law,369,"369. Temporary power to Parliament to make laws with respect to certain matters in the State List as if they were matters in the Concurrent List Notwithstanding anything in this Constitution, Parliament shall, during a period of five years from the commencement of this constitution, have power to make laws with respect to the following matters as if they were enumerated in the Concurrent List, namely:",-9.100916430664062,17,0
equality before law,325,"325. No person to be ineligible for inclusion in, or to claim to be included in a special, electoral roll on grounds of religion, race, caste or sex There shall be one general electoral roll for every territorial constituency for election to either House of Parliament or to the House or either House of the Legislature of a State and no person shall be ineligible for inclusion in any such roll or claim to be included in any special electoral roll for any such constituency on grounds only of religion, race, caste, sex or any of them",-9.636814779663085,18,0
equality before law,243T,243T. Reservation of seats,-9.885267568969727,19,0
equality before law,303,303. Restrictions on the legislative powers of the Union and of the States with regard to trade and commerce,-9.899109712219238,20,0
equality before law,23,23. Prohibition of traffic in human beings and forced labour,-10.001339270019532,21,0
equality before law,233,"233. A Validation of appointments of, and judgments, etc, delivered by, certain district judges Notwithstanding any judgment, decree or order of any court,",-10.179403622436524,22,0
equality before law,376,376. Provisions as to Judges of High Courts,-10.245659420776366,23,0
equality before law,33,"33. Power of Parliament to modify the rights conferred by this Part in their application etc Parliament may, by law, determine to what extent any of the rights conferred by this Part shall, in their application to,",-10.25528892364502,24,0
equality before law,45,"45. Provision for free and compulsory education for children The State shall endeavour to provide, within a period of ten years from the commencement of this Constitution, for free and compulsory education for all children until they complete the age of fourteen years",-10.289432856750489,25,0
equality before law,55,55. Manner of election of President,-10.364636785888672,26,0
equality before law,46,"46. Promotion of educational and economic interests of Scheduled Castes, Scheduled Tribes and other weaker sections The State shall promote with special care the educational and economic interests of the weaker sections of the people, and, in particular, of the Scheduled Castes and the Scheduled Tribes, and shall protect them from social injustice and all forms of exploitation",-10.495115396118164,27,0
