query,article_id,article_title,neural_score,rank,is_correct
equality before law,14,"14. Equality before law The State shall not deny to any person equality before the law or the equal protection of the laws within the territory of India Prohibition of discrimination on grounds of religion, race, caste, sex or place of birth",2.39822890625,1,1
equality before law,16,16. Equality of opportunity in matters of public employment,1.272244921875,2,0
equality before law,13,13. Laws inconsistent with or in derogation of the fundamental rights,0.63251953125,3,0
equality before law,22,22. Protection against arrest and detention in certain cases,0.5301926300048828,4,0
equality before law,19,19. Protection of certain rights regarding freedom of speech etc,0.40533173828125,5,0
equality before law,23,23. Prohibition of traffic in human beings and forced labour,0.316569970703125,6,0
equality before law,33,"33. Power of Parliament to modify the rights conferred by this Part in their application etc Parliament may, by law, determine to what extent any of the rights conferred by this Part shall, in their application to,",0.19326130065917968,7,0
equality before law,30,30. Right of minorities to establish and administer educational institutions,0.17479671630859372,8,0
equality before law,15,"15. Prohibition of discrimination on grounds of religion, race, caste, sex or place of birth",0.12040966796874997,9,0
equality before law,39A,39. A Equal justice and free legal aid,0.011296289062499992,10,0
equality before law,42,42. Provision for just and humane conditions of work and maternity relief The State shall make provision for securing just and humane conditions of work and for maternity relief,-0.06884306030273438,11,0
equality before law,45,"45. Provision for free and compulsory education for children The State shall endeavour to provide, within a period of ten years from the commencement of this Constitution, for free and compulsory education for all children until they complete the age of fourteen years",-0.10580572814941407,12,0
equality before law,325,"325. No person to be ineligible for inclusion in, or to claim to be included in a special, electoral roll on grounds of religion, race, caste or sex There shall be one general electoral roll for every territorial constituency for election to either House of Parliament or to the House or either House of the Legislature of a State and no person shall be ineligible for inclusion in any such roll or claim to be included in any special electoral roll for any such constituency on grounds only of religion, race, caste, sex or any of them",-0.12052792968750001,13,0
equality before law,11,11. Parliament to regulate the right of citizenship by law Nothing in the foregoing provisions of this Part shall derogate from the power of Parliament to make any provision with respect to the acquisition and termination of citizenship and all other matters relating to citizenship PART III FUNDAMENTAL RIGHTS General,-0.12285124511718751,14,0
equality before law,41,"41. Right to work, to education and to public assistance in certain cases The State shall, within the limits of its economic capacity and development, make effective provision for securing the right to work, to education and to public assistance in cases of unemployment, old age, sickness and disablement, and in other cases of undeserved want",-0.1339359832763672,15,0
